,symbol,initialMargin,maintMargin,unrealizedProfit,positionInitialMargin,openOrderInitialMargin,leverage,isolated,entryPrice,maxNotional,positionSide,positionAmt,notional,isolatedWallet,updateTime,bidNotional,askNotional
177,OMGUSDT,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1000000.0,BOTH,0.0,0.0,0.0,1668099429111.0,0.0,0.0
178,ICXUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,5000.0,BOTH,0.0,0.0,0.0,1614843090980.0,0.0,0.0
179,ICPBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
180,FTMUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,500000.0,BOTH,0.0,0.0,0.0,1626849222530.0,0.0,0.0
181,1000SHIBBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
182,AMBBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
183,DOGEBUSD,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1000000.0,BOTH,0.0,0.0,0.0,1640861180985.0,0.0,0.0
184,SXPUSDT,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1668165989516.0,0.0,0.0
185,XEMUSDT,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1618738676947.0,0.0,0.0
186,1000LUNCBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0
