,symbol,markPrice,indexPrice,estimatedSettlePrice,lastFundingRate,interestRate,nextFundingTime,time
175,BTCDOMUSDT,1272.74887661,1271.76761916,1273.10586327,0.000231,0.0001,1668787200000.0,1668765956002.0
176,BTCUSDT,16745.9,16751.18407543,16741.07851749,6.995e-05,0.0001,1668787200000.0,1668765956002.0
177,OMGUSDT,1.139,1.13977483,1.13779689,0.0001,0.0001,1668787200000.0,1668765956002.0
178,ICXUSDT,0.1543,0.15444614,0.1545172,0.0001,0.0001,1668787200000.0,1668765956002.0
179,ICPBUSD,3.823,3.82390629,3.8282182,0.0001,0.0001,1668787200000.0,1668765956002.0
180,FTMUSDT,0.18,0.18002375,0.17977307,0.0001,0.0001,1668787200000.0,1668765956002.0
181,1000SHIBBUSD,0.009133,0.00913232,0.00911532,0.0001,0.0001,1668787200000.0,1668765956002.0
182,AMBBUSD,0.01042652,0.01042589,0.01034943,0.0001,0.0001,1668787200000.0,1668765956002.0
183,DOGEBUSD,0.08532498,0.08533371,0.08528129,0.0001,0.0001,1668787200000.0,1668765956002.0
184,SXPUSDT,0.2465,0.24644276,0.24601158,0.0001,0.0001,1668787200000.0,1668765956002.0
185,XEMUSDT,0.03179315,0.03185329,0.03184534,0.0001,0.0001,1668787200000.0,1668765956002.0
186,1000LUNCBUSD,0.1788,0.17882254,0.1781269,0.0001,0.0001,1668787200000.0,1668765956002.0
187,ZILUSDT,0.0215071,0.02150314,0.02147634,0.0001,0.0001,1668787200000.0,1668765956002.0
188,DYDXUSDT,2.123,2.12386505,2.12131777,0.0001,0.0001,1668787200000.0,1668765956002.0
189,AXSUSDT,7.197,7.19784846,7.1946335,6.918e-05,0.0001,1668787200000.0,1668765956002.0
190,OCEANUSDT,0.13083593,0.13082628,0.1307712,0.0001,0.0001,1668787200000.0,1668765956002.0
191,LEVERBUSD,0.0010152,0.00101708,0.00101838,0.0001,0.0001,1668787200000.0,1668765956002.0
192,CHZUSDT,0.24517654,0.24528392,0.24402378,0.0001,0.0001,1668787200000.0,1668765956002.0
193,DUSKUSDT,0.09004008,0.09023766,0.09015406,-0.00014188,0.0001,1668787200000.0,1668765956002.0
194,CTSIUSDT,0.1031545,0.10321574,0.10346235,0.0001,0.0001,1668787200000.0,1668765956002.0
