,symbol,initialMargin,maintMargin,unrealizedProfit,positionInitialMargin,openOrderInitialMargin,leverage,isolated,entryPrice,maxNotional,positionSide,positionAmt,notional,isolatedWallet,updateTime,bidNotional,askNotional,markPrice,indexPrice,estimatedSettlePrice,lastFundingRate,interestRate,nextFundingTime,time
16,DOGEUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2000000.0,BOTH,0.0,0.0,0.0,1652116964152.0,0.0,0.0,0.08539,0.08542429,0.08535982,0.0001,0.0001,1668787200000.0,1668765956002.0
17,TRXUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1620874526547.0,0.0,0.0,0.0507209,0.05078485,0.05068053,-0.0003886,0.0001,1668787200000.0,1668765956002.0
18,STORJUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1602162968093.0,0.0,0.0,0.307,0.30723602,0.30653725,0.0001,0.0001,1668787200000.0,1668765956002.0
19,ETHUSDT_221230,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,375000.0,BOTH,0.0,0.0,0.0,1667987271615.0,0.0,0.0,1214.3772483,1216.2642643,1214.39577614,0.0,0.0,0.0,1668765956002.0
20,SNXUSDT,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,100000.0,BOTH,0.0,0.0,0.0,1658703725094.0,0.0,0.0,1.72519228,1.72527355,1.73323729,-0.00015663,0.0001,1668787200000.0,1668765956002.0
21,DOTBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,5.69404144,5.69658918,5.68563497,9.422e-05,0.0001,1668787200000.0,1668765956002.0
22,NEARBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,1.831,1.83105218,1.82892675,0.0001,0.0001,1668787200000.0,1668765956002.0
23,XLMUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,2000000.0,BOTH,0.0,0.0,0.0,1633862015942.0,0.0,0.0,0.09025,0.09028907,0.09031931,0.0001,0.0001,1668787200000.0,1668765956002.0
24,APEBUSD,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,0.0,0.0,0.0,2.929,2.93090244,2.92931841,0.0001,0.0001,1668787200000.0,1668765956002.0
25,IOTXUSDT,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,250000.0,BOTH,0.0,0.0,0.0,1639112719563.0,0.0,0.0,0.02483,0.02484408,0.02475331,0.0001,0.0001,1668787200000.0,1668765956002.0
26,DASHUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,25000.0,BOTH,0.0,0.0,0.0,1645242839134.0,0.0,0.0,33.99,34.01243946,33.92249251,0.0001,0.0001,1668787200000.0,1668765956002.0
27,KAVAUSDT,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,5000.0,BOTH,0.0,0.0,0.0,1650584140266.0,0.0,0.0,0.93213617,0.93263935,0.9353866,-0.00019459,0.0001,1668787200000.0,1668765956002.0
